full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,55723,55723,4044,486,486,46,https://github.com/anthropics/claude-code
shareAI-lab/learn-claude-code,13977,13977,3297,188,188,19,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,25398,25398,1992,92,92,8,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,15805,15805,1367,242,242,20,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,20089,20089,1137,126,126,6,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5064,5064,1364,25,25,1,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8331,8331,1104,30,30,2,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,7663,7663,864,98,98,16,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3469,3469,518,14,14,1,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,4139,4139,369,178,178,13,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,2823,2823,383,16,16,3,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5281,5281,200,0,0,0,https://github.com/kodu-ai/claude-coder
obra/superpowers,18619,18619,1433,1652,1652,95,https://github.com/obra/superpowers
Piebald-AI/claude-code-system-prompts,2947,2947,441,45,45,6,https://github.com/Piebald-AI/claude-code-system-prompts
Yuyz0112/claude-code-reverse,1919,1919,343,9,9,2,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6148,6148,297,10,10,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,2064,2064,440,5,5,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,2997,2997,262,14,14,0,https://github.com/zebbern/claude-code-guide
fuergaosi233/claude-code-proxy,1874,1874,255,9,9,2,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2244,2244,248,3,3,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,552,552,599,2,2,1,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,24783,24783,2381,21,21,3,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3316,3316,243,5,5,1,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,25182,25182,2774,142,142,13,https://github.com/wshobson/agents
anthropics/skills,38480,38480,3502,831,831,84,https://github.com/anthropics/skills
anthropics/claude-code-security-review,2828,2828,208,10,10,1,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,361,361,478,0,0,3,https://github.com/https-deeplearning-ai/sc-claude-code-files
frankbria/ralph-claude-code,2212,2212,148,664,664,38,https://github.com/frankbria/ralph-claude-code
siteboon/claudecodeui,5452,5452,691,18,18,4,https://github.com/siteboon/claudecodeui
github/spec-kit,61965,61965,5383,271,271,24,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,790,790,397,3,3,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1066,1066,167,8,8,0,https://github.com/feiskyer/claude-code-settings
edmund-io/edmunds-claude-code,899,899,189,13,13,4,https://github.com/edmund-io/edmunds-claude-code
lst97/claude-code-sub-agents,1309,1309,218,5,5,0,https://github.com/lst97/claude-code-sub-agents
sugyan/claude-code-webui,822,822,189,1,1,1,https://github.com/sugyan/claude-code-webui
nishimoto265/Claude-Code-Communication,470,470,219,1,1,0,https://github.com/nishimoto265/Claude-Code-Communication
router-for-me/CLIProxyAPI,6392,6392,969,129,129,18,https://github.com/router-for-me/CLIProxyAPI
rizethereum/claude-code-requirements-builder,1727,1727,171,2,2,-1,https://github.com/rizethereum/claude-code-requirements-builder
centminmod/my-claude-code-setup,1637,1637,161,5,5,2,https://github.com/centminmod/my-claude-code-setup
ComposioHQ/awesome-claude-skills,18244,18244,1860,520,520,30,https://github.com/ComposioHQ/awesome-claude-skills
andrepimenta/claude-code-chat,967,967,141,-1,-1,0,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19912,19912,1528,21,21,-4,https://github.com/winfunc/opcode
