full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,62779,62779,4708,270,270,27,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,36241,36241,4472,864,864,128,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,15959,15959,3496,66,66,7,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,26988,26988,2101,39,39,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,19042,19042,1755,61,61,10,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,22448,22448,1281,65,65,6,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5425,5425,1414,16,16,4,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8715,8715,1127,15,15,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,9216,9216,1002,66,66,8,https://github.com/VoltAgent/awesome-claude-code-subagents
ChrisWiles/claude-code-showcase,5165,5165,441,7,7,1,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3559,3559,525,6,6,1,https://github.com/OneRedOak/claude-code-workflows
frankbria/ralph-claude-code,6058,6058,417,48,48,5,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,3871,3871,580,35,35,6,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,2958,2958,395,1,1,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5289,5289,200,2,2,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3263,3263,291,11,11,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2040,2040,352,4,4,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6373,6373,308,9,9,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,2142,2142,450,4,4,0,https://github.com/disler/claude-code-hooks-mastery
fuergaosi233/claude-code-proxy,1977,1977,276,2,2,2,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2303,2303,253,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/skills,59626,59626,5831,673,673,68,https://github.com/anthropics/skills
anthropics/claude-code-base-action,565,565,598,1,1,0,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,25192,25192,2411,24,24,1,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3381,3381,242,-2,-2,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,27420,27420,3012,72,72,11,https://github.com/wshobson/agents
https-deeplearning-ai/sc-claude-code-files,388,388,524,2,2,4,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-security-review,2910,2910,219,3,3,0,https://github.com/anthropics/claude-code-security-review
edmund-io/edmunds-claude-code,1083,1083,222,8,8,2,https://github.com/edmund-io/edmunds-claude-code
snarktank/ralph,8922,8922,1053,120,120,21,https://github.com/snarktank/ralph
github/spec-kit,66593,66593,5742,151,151,11,https://github.com/github/spec-kit
siteboon/claudecodeui,5833,5833,764,12,12,2,https://github.com/siteboon/claudecodeui
ComposioHQ/awesome-claude-skills,28628,28628,2758,308,308,22,https://github.com/ComposioHQ/awesome-claude-skills
router-for-me/CLIProxyAPI,8785,8785,1395,66,66,14,https://github.com/router-for-me/CLIProxyAPI
feiskyer/claude-code-settings,1167,1167,177,2,2,0,https://github.com/feiskyer/claude-code-settings
ghuntley/claude-code-source-code-deobfuscation,818,818,406,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sugyan/claude-code-webui,881,881,201,2,2,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1373,1373,222,0,0,0,https://github.com/lst97/claude-code-sub-agents
sickn33/antigravity-awesome-skills,5862,5862,1297,267,267,46,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,487,487,235,1,1,-1,https://github.com/nishimoto265/Claude-Code-Communication
21st-dev/1code,4662,4662,451,20,20,5,https://github.com/21st-dev/1code
centminmod/my-claude-code-setup,1772,1772,174,2,2,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1735,1735,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,984,984,149,0,0,0,https://github.com/andrepimenta/claude-code-chat
EveryInc/compound-engineering-plugin,6875,6875,552,105,105,9,https://github.com/EveryInc/compound-engineering-plugin
ykdojo/claude-code-tips,1771,1771,113,24,24,1,https://github.com/ykdojo/claude-code-tips
darcyegb/ClaudeCodeAgents,508,508,47,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
winfunc/opcode,20301,20301,1575,13,13,2,https://github.com/winfunc/opcode
